Date,City,State,Lat,Lng,Population,AQI,Category,Defining_Parameter,initial_business_closure
2019-01-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,PM10,2020-03-16
2019-01-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,40,Good,PM2.5,2020-03-16
2019-01-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,55,Moderate,PM2.5,2020-03-16
2019-01-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,57,Moderate,PM2.5,2020-03-16
2019-01-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,66,Moderate,PM2.5,2020-03-16
2019-01-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,70,Moderate,PM2.5,2020-03-16
2019-01-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,53,Moderate,PM2.5,2020-03-16
2019-01-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,55,Moderate,PM2.5,2020-03-16
2019-01-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,57,Moderate,PM2.5,2020-03-16
2019-01-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,63,Moderate,PM2.5,2020-03-16
2019-01-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,38,Good,PM2.5,2020-03-16
2019-01-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,PM2.5,2020-03-16
2019-01-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,PM2.5,2020-03-16
2019-01-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,PM2.5,2020-03-16
2019-01-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,PM2.5,2020-03-16
2019-01-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,57,Moderate,PM2.5,2020-03-16
2019-01-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,53,Moderate,PM2.5,2020-03-16
2019-01-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,43,Good,Ozone,2020-03-16
2019-01-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,38,Good,Ozone,2020-03-16
2019-01-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,40,Good,PM2.5,2020-03-16
2019-01-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,53,Moderate,PM10,2020-03-16
2019-01-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,36,Good,Ozone,2020-03-16
2019-01-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,37,Good,Ozone,2020-03-16
2019-01-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,39,Good,Ozone,2020-03-16
2019-01-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,41,Good,Ozone,2020-03-16
2019-01-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,43,Good,Ozone,2020-03-16
2019-01-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-01-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,41,Good,Ozone,2020-03-16
2019-01-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,PM2.5,2020-03-16
2019-01-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,59,Moderate,PM2.5,2020-03-16
2019-01-31,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,57,Moderate,PM10,2020-03-16
2019-02-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,PM10,2020-03-16
2019-02-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,43,Good,PM2.5,2020-03-16
2019-02-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,PM2.5,2020-03-16
2019-02-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,37,Good,PM10,2020-03-16
2019-02-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,39,Good,Ozone,2020-03-16
2019-02-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-02-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-02-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,41,Good,Ozone,2020-03-16
2019-02-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,39,Good,PM10,2020-03-16
2019-02-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-02-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,59,Moderate,PM10,2020-03-16
2019-02-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,52,Moderate,PM2.5,2020-03-16
2019-02-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,PM2.5,2020-03-16
2019-02-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,63,Moderate,PM2.5,2020-03-16
2019-02-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-02-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-02-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-02-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,PM10,2020-03-16
2019-02-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-02-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-02-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,43,Good,Ozone,2020-03-16
2019-02-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,PM10,2020-03-16
2019-02-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-02-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-02-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-02-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-02-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-02-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,43,Good,Ozone,2020-03-16
2019-03-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-03-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,41,Good,Ozone,2020-03-16
2019-03-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-03-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-03-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-03-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-03-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,PM10,2020-03-16
2019-03-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,90,Moderate,PM10,2020-03-16
2019-03-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,Ozone,2020-03-16
2019-03-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,48,Good,Ozone,2020-03-16
2019-03-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-03-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,40,Good,Ozone,2020-03-16
2019-03-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-03-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-03-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-03-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-03-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-03-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-03-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,Ozone,2020-03-16
2019-03-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-03-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-03-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-03-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,48,Good,Ozone,2020-03-16
2019-03-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-03-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-03-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-03-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-03-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-03-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-03-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-03-31,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,39,Good,Ozone,2020-03-16
2019-04-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-04-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-04-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-04-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-04-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-04-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-04-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-04-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,89,Moderate,PM10,2020-03-16
2019-04-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,PM10,2020-03-16
2019-04-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,48,Good,Ozone,2020-03-16
2019-04-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-04-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-04-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-04-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-04-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-04-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-04-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-04-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-04-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-04-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-04-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
